path,file_size,visible_text_length,word_count,title,h1_h2_headings,meta_description,internal_link_count,inbound_links,image_count,likely_category,likely_status,importance_score,label,short_description
8Z/8Z_compression.html,38809,9127,1458,"8Z Mathematical Compression — Store Math, Not Bytes","Store Math , Not Bytes | Mathematical Description > Statistical Coding | 8zip ReZIP & 8zipLab | 8Z Beats Every Major Lossless Codec | One Framework, Five Domains | From Consciousness to Compression | Reactions From the Team | How 8Z Decides | Read the Full Paper","The foundational 8Z mathematical-compression page: deterministic generators, images, audio, DNA/FASTA, and MDL-guided selection — now linked to the active 8zip, ReZIP, and 8zipLab research branches.",9,11,0,"8Z, Compression, Codecs & Data Systems",canonical_public,98.73,"8Z Mathematical Compression — Store Math, Not Bytes","Foundational 8Z mathematical-compression page across images, audio, DNA/FASTA, deterministic generators, and MDL selection."
8Z/8zip.html,44737,16692,2574,"8zip, ReZIP & 8zipLab — Verified Compression Research","Smaller archives. No missing bytes. Manjši arhivi. Brez izgubljenih bajtov. | Compatibility here. Research freedom there. Združljivost tukaj. Raziskovalna svoboda tam. | Do not guess the winner. Build the arena. Ne ugibaj zmagovalca. Zgradi areno. | What we know so far Kaj za zdaj vemo | The project is becoming clearer, not smaller Projekt postaja jasnejši, ne manjši | Both runs are healthy Oba runa sta zdrava | What could this become? Kaj lahko iz tega nastane? | The route forward Pot naprej","A plain-language, evidence-first overview of 8zip standard-ZIP optimization, the ReZIP cold-storage campaign, and the experimental 8zipLab FPLB research branch.",9,15,0,"8Z, Compression, Codecs & Data Systems",active_research,260.00,"8zip, ReZIP & 8zipLab — Verified Compression Research","Evidence-first overview of the separate standard-ZIP ReZIP and experimental FPLB branches, with measured results, live July 2026 status, limits, realistic upside, and roadmap."
8Z/8Z_project_files_manager.html,37986,226,28,8Z Project — File Manager,8Z Project Files,,0,4,0,"8Z, Compression, Codecs & Data Systems",canonical_public,82.11,8Z Project — File Manager,
8Z/index.html,20527,6207,913,8Z Compression & Data Systems Hub,"The 8Z compression laboratory 8Z laboratorij stiskanja | Three rooms, one evidence standard Tri sobe, en dokazni standard | The experiments are moving Eksperimenti napredujejo | Explore the connected branches Razišči povezane veje | Optimism with guardrails Optimizem z varovali","The 8Z compression and data-systems hub: 8zip standard ZIP optimization, ReZIP cold storage, 8zipLab experimental FPLB research, mathematical compression, audio, and DNA/FASTA work.",15,28,0,"8Z, Compression, Codecs & Data Systems",canonical_or_hub,1066.73,8Z Compression & Data Systems Hub,"Canonical 8Z hub for verified standard-ZIP optimization, experimental FPLB research, mathematical compression, audio, DNA/FASTA, and project tools."
8zc-about.html,22559,11284,1807,Help — ChessBest 8Z DCC,ChessBest 8Z — Help | Standard ChessBest Features,,5,6,0,"Practical Tools, Games & Demonstrators",canonical_public,95.23,Help — ChessBest 8Z DCC,
8zc-pgn.html,8578,3736,593,Game Collections & DCC Opening Lab — ChessBest 8Z,DCC Opening Lab — Finding Moves Nobody Plays | Game Collections — How the PGN Files Were Built,,4,6,0,"Practical Tools, Games & Demonstrators",canonical_public,90.37,Game Collections & DCC Opening Lab — ChessBest 8Z,
8zc-why.html,10883,4399,667,Why ChessDCC — ChessDB + MDL Intelligence,Why ChessDCC | The Science Behind ChessDCC | The ChessDB Foundation,,4,6,0,"Practical Tools, Games & Demonstrators",canonical_public,90.67,Why ChessDCC — ChessDB + MDL Intelligence,
8zc.html,21065,2184,382,ChessBest.org — 8Z DCC Eval Layer,,,7,9,0,"Practical Tools, Games & Demonstrators",canonical_or_hub,158.53,ChessBest.org — 8Z DCC Eval Layer,
8ZT/8z_shield_landing.html,49847,11636,1710,8Z Publish — Sell Anything. No Server. No Platform. Just Encryption.,Sell anything. No server. No platform. Just encryption. | The platform tax is a design flaw. | Five steps. Zero servers. | Keep 97% of what you earn. | A new class of software object. | Encrypt anything. Sell anywhere. | What 8Z does — and what it doesn't claim. | Three components. Zero dependencies. | Where the architecture leads. | Four LLMs. One framework. | Encrypt your first file in 30 seconds.,,11,4,0,Trading & Market Systems,canonical_public,88.84,8Z Publish — Sell Anything. No Server. No Platform. Just Encryption.,
8ZT/8z_shield_smart.html,44917,37358,1112,8z_shield_smart,,,0,4,0,Trading & Market Systems,canonical_public,86.45,8z_shield_smart,
